disease,url
Food safety,https://www.who.int/news-room/fact-sheets/detail/food-safety
Foodborne trematode infections,https://www.who.int/news-room/fact-sheets/detail/foodborne-trematode-infections
Fragility fractures,https://www.who.int/news-room/fact-sheets/detail/fragility-fractures
Free health care policies,https://www.who.int/news-room/fact-sheets/detail/free-health-care-policies
Gambling,https://www.who.int/news-room/fact-sheets/detail/gambling
Gonorrhoea (Neisseria gonorrhoeae infection),https://www.who.int/news-room/fact-sheets/detail/gonorrhoea-(neisseria-gonorrhoeae-infection)
Group B Streptococcus (GBS),https://www.who.int/news-room/fact-sheets/detail/group-b-streptococcus-(gbs)
Guillain–Barré syndrome,https://www.who.int/news-room/fact-sheets/detail/guillain-barré-syndrome
Hantavirus,https://www.who.int/news-room/fact-sheets/detail/hantavirus
Health literacy,https://www.who.int/news-room/fact-sheets/detail/health-literacy
Health-care waste,https://www.who.int/news-room/fact-sheets/detail/health-care-waste
Healthy diet,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
Heat and health,https://www.who.int/news-room/fact-sheets/detail/climate-change-heat-and-health
Hepatitis A,https://www.who.int/news-room/fact-sheets/detail/hepatitis-a
Hepatitis B,https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
Hepatitis C,https://www.who.int/news-room/fact-sheets/detail/hepatitis-c
Hepatitis D,https://www.who.int/news-room/fact-sheets/detail/hepatitis-d
Hepatitis E,https://www.who.int/news-room/fact-sheets/detail/hepatitis-e
Herpes simplex virus,https://www.who.int/news-room/fact-sheets/detail/herpes-simplex-virus
HIV and AIDS,https://www.who.int/news-room/fact-sheets/detail/hiv-aids
HIV drug resistance,https://www.who.int/news-room/fact-sheets/detail/hiv-drug-resistance
Household air pollution,https://www.who.int/news-room/fact-sheets/detail/household-air-pollution-and-health
Human papillomavirus and cancer,https://www.who.int/news-room/fact-sheets/detail/human-papilloma-virus-and-cancer
Human rights,https://www.who.int/news-room/fact-sheets/detail/human-rights-and-health
Human T-lymphotropic virus-1,https://www.who.int/news-room/fact-sheets/detail/human-t-lymphotropic-virus-type-1
Hypertension,https://www.who.int/news-room/fact-sheets/detail/hypertension
ICD-11,https://www.who.int/news-room/fact-sheets/detail/icd-11
Immunization coverage,https://www.who.int/news-room/fact-sheets/detail/immunization-coverage
Infant and young child feeding,https://www.who.int/news-room/fact-sheets/detail/infant-and-young-child-feeding
Infertility,https://www.who.int/news-room/fact-sheets/detail/infertility
Influenza (avian and other zoonotic),https://www.who.int/news-room/fact-sheets/detail/influenza-(avian-and-other-zoonotic)
Influenza (seasonal),https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal)
Injuries and violence,https://www.who.int/news-room/fact-sheets/detail/injuries-and-violence
Intrauterine devices (IUDs),https://www.who.int/news-room/fact-sheets/detail/intrauterine-devices
Ionizing radiation and health effects,https://www.who.int/news-room/fact-sheets/detail/ionizing-radiation-and-health-effects
Japanese encephalitis,https://www.who.int/news-room/fact-sheets/detail/japanese-encephalitis
Kidney disease,https://www.who.int/news-room/fact-sheets/detail/kidney-disease
Lassa fever,https://www.who.int/news-room/fact-sheets/detail/lassa-fever
Lead poisoning,https://www.who.int/news-room/fact-sheets/detail/lead-poisoning-and-health
Legionellosis,https://www.who.int/news-room/fact-sheets/detail/legionellosis
Leishmaniasis,https://www.who.int/news-room/fact-sheets/detail/leishmaniasis
Leprosy,https://www.who.int/news-room/fact-sheets/detail/leprosy
Listeriosis,https://www.who.int/news-room/fact-sheets/detail/listeriosis
Low back pain,https://www.who.int/news-room/fact-sheets/detail/low-back-pain
Lung cancer,https://www.who.int/news-room/fact-sheets/detail/lung-cancer
Lymphatic filariasis,https://www.who.int/news-room/fact-sheets/detail/lymphatic-filariasis
Malaria,https://www.who.int/news-room/fact-sheets/detail/malaria
Malnutrition,https://www.who.int/news-room/fact-sheets/detail/malnutrition
Marburg virus disease,https://www.who.int/news-room/fact-sheets/detail/marburg-virus-disease
Maternal mortality,https://www.who.int/news-room/fact-sheets/detail/maternal-mortality
Measles,https://www.who.int/news-room/fact-sheets/detail/measles
